Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_2-br_3-f_6-i_10-cl_11-br_15-f.log,0,3,1,0,0,4,0,0,0,2,3,0,0,0,1,0,6,546.7487,360.37,Training,559.054632120392
6Heliceno_1-i_8-br_10-i_11-cl_12-br_15-br.log,4,0,0,0,0,0,0,3,0,4,2,3,0,0,3,0,6,465.6002,379.27,Training,444.4342068141739
6Heliceno_3-cl_6-f_10-cl_12-br.log,0,0,2,0,0,1,0,0,0,2,0,3,0,0,0,0,4,536.1293,351.94,Training,508.06297801241334
6Heliceno_2-f.log,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,655.8208,340.06,Training,697.151246858389
6Heliceno_3-i_5-cl_8-f_11-i_13-cl_15-i.log,0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,6,527.0081,368.88,Training,533.1679657264508
6Heliceno_3-cl_5-cl_8-f_11-i_13-f_16-i.log,0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,6,344.8483,366.06,Training,449.1780672576238
6Heliceno_5-f_6-cl_10-i_12-br_15-f_16-i.log,0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,6,429.7587,371.94,Training,410.489230998633
6Heliceno_11-f_12-br_16-i.log,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,494.5583,363.26,Training,460.48442410252306
6Heliceno_8-br_10-i_16-i.log,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,3,524.1074,367.07,Training,550.590690804288
6Heliceno_2-cl_4-cl_7-f_12-cl.log,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,4,408.1587,360.01,Training,522.8916379759374
6Heliceno_2-f_15-cl_16-cl.log,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,550.2463,352.46,Training,597.3503571621831
6Heliceno_5-i_9-br_10-f.log,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,3,536.6126,349.75,Training,471.3002612766199
6Heliceno_1-br_2-f_5-br_7-br_12-f_13-f.log,3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,6,335.8133,369.51,Training,267.4219919185055
6Heliceno_2-i_15-i_16-i.log,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,349.969,366.92,Training,615.599832438599
6Heliceno_7-f_8-f_10-i_11-f_13-cl.log,0,0,0,0,0,0,1,1,0,4,1,0,2,0,0,0,5,437.5096,357.34,Training,425.2141288269869
6Heliceno_5-i_12-i_13-i.log,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,3,143.4255,367.54,Training,212.6789360057702
6Heliceno_4-cl_7-i.log,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,544.8066,349.92,Training,566.3509501973766
6Heliceno_3-cl_4-f_8-br_10-f_16-br.log,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,3,5,519.0902,357.84,Training,519.9753892700061
6Heliceno_10-br_15-i.log,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,2,694.2488,351.27,Training,703.8272712098795
6Heliceno_4-cl_6-cl_9-br_10-cl_15-br_16-cl.log,0,0,0,2,0,2,0,0,3,2,0,0,0,0,3,2,6,504.4688,368.88,Training,449.7694403253922
6Heliceno_1-f_4-f_9-br_10-i_13-br_16-cl.log,1,0,0,1,0,0,0,0,3,4,0,0,3,0,0,2,6,287.2145,366.41,Training,313.45838989653333
6Heliceno_2-cl_6-br_11-i_12-i.log,0,2,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,401.2533,355.02,Training,481.5628941545088
6Heliceno_1-f_10-i_13-cl.log,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,3,427.7424,349.44,Training,431.8535646327507
6Heliceno_1-br_3-i_13-br_14-cl_16-br.log,3,0,4,0,0,0,0,0,0,0,0,0,3,2,0,3,5,590.0745,368.38,Training,436.18952434150884
6Heliceno_6-cl_7-cl.log,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,524.2032,353.63,Training,571.5454094837743
6Heliceno_13-cl_14-cl.log,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,662.1677,345.48,Training,639.6089754383937
6Heliceno_1-f_6-br_7-br_8-i_9-br_11-i.log,1,0,0,0,0,3,3,4,3,0,4,0,0,0,0,0,6,246.9094,372.15,Training,291.3130867715497
6Heliceno_1-cl_5-i_8-cl_16-i.log,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,4,423.7266,369.64,Training,484.1836982422225
6Heliceno_4-f_6-br_9-br_12-i_14-i_16-f.log,0,0,0,1,0,3,0,0,3,0,0,4,0,4,0,1,6,373.4954,362.59,Training,408.19350838629686
6Heliceno_7-i_13-f_16-cl.log,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,3,470.8552,354.38,Training,517.7337318829781
6Heliceno_1-f_2-i_3-f_5-i_9-cl_10-i.log,1,4,1,0,4,0,0,0,2,4,0,0,0,0,0,0,6,376.4914,361.12,Training,444.27317824796273
6Heliceno_2-br_3-i_15-br_16-cl.log,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2,4,698.5759,358.24,Training,688.5226857643707
6Heliceno_1-cl_4-f_5-cl_9-f_13-f.log,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,5,326.9496,363.32,Training,360.22421645913215
