Names,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Nsubs,R,lambd,Set,R_pred
6Heliceno_3-i_5-cl_8-f_11-i_13-cl_15-i.log,0,0,4,0,2,0,0,1,0,0,4,0,2,0,4,0,6,527.0081,368.88,Training,531.3864066210825
6Heliceno_3-cl_5-cl_8-f_11-i_13-f_16-i.log,0,0,2,0,2,0,0,1,0,0,4,0,1,0,0,4,6,344.8483,366.06,Training,477.9966852604482
6Heliceno_5-f_6-cl_10-i_12-br_15-f_16-i.log,0,0,0,0,1,2,0,0,0,4,0,3,0,0,1,4,6,429.7587,371.94,Training,399.3243315412642
6Heliceno_1-cl_10-br_15-cl.log,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,571.1386,352.07,Training,521.4229624930938
6Heliceno_11-f_12-br_16-i.log,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,494.5583,363.26,Training,550.5612530021924
6Heliceno_2-cl_4-cl_7-f_12-cl.log,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,4,408.1587,360.01,Training,501.78796336589676
6Heliceno_5-br_12-cl_14-br.log,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,3,558.3738,351.63,Training,534.0985067481595
6Heliceno_2-f_15-cl_16-cl.log,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,550.2463,352.46,Training,673.3215794116348
6Heliceno_1-i_5-f_8-br_9-i_10-cl_16-cl.log,4,0,0,0,1,0,0,3,4,2,0,0,0,0,0,2,6,385.9352,384.55,Training,413.7138485628215
6Heliceno_6-i.log,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,611.754,345.85,Training,632.1385913534014
6Heliceno_5-i_9-br_10-f.log,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,3,536.6126,349.75,Training,540.8756062513067
6Heliceno_1-br_2-f_5-br_7-br_12-f_13-f.log,3,1,0,0,3,0,3,0,0,0,0,1,1,0,0,0,6,335.8133,369.51,Training,329.9305235228156
6Heliceno_3-cl_12-cl_13-f.log,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,3,589.7416,346.58,Training,553.2098609614509
